ID;Название;МКБ-10;Возраст;Разработчик;Дата размещения;Статус;Ссылка;Уровни рекомендаций (A1: 5, B2: 3 и т.д.);MedIQ (кол-во);Blacklist (кол-во);Маркеры (кол-во);Препараты MedIQ;Маркеры;Чёрный список;LLM-кейсы;Метки LLM
814_1;Ишемический инсульт и транзиторная ишемическая атака;G45.0, G45.1, G45.2, G45.3, G45.4, G45.8, G45.9, G46.0, G46.1, G46.2, G46.3, G46.4, G46.5, G46.6, G46.7, G46.8, I63.0, I63.1, I63.2, I63.3, I63.4, I63.5, I63.6, I63.8, I63.9, I64, I65.0, I65.1, I65.2, I65.3, I65.8, I65.9, I66.0, I66.1, I66.2, I66.3, I66.4, I66.8, I66.9, I67.6;Взрослые, дети;"Ассоциация нейрохирургов России, Всероссийское общество неврологов, Национальная ассоциация по борьбе с инсультом, Общероссийская общественная организация ""Союз реабилитологов России"", Межрегиональная общественная организация ""Объединение нейроанестезиологов и нейрореаниматологов""";20.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/814_1;B2: 28, A2: 10, A1: 8, C5: 6, C2: 6, C3: 5, B1: 4, B3: 2, C4: 1, A3: 1;23;13;4;"Антиоксидант; Антитромбин; Винпоцетин; Глицин; ЗМА; Инозин; Кортексин; Куб; Лизин; Мексидол; Потенциал; Пролин; Семакс; Сиалор; Фиалка; Фортелизин; Холина альфосцерат; ЦИТОФЛАВИН; Целлекс; Церебролизин; Цина; Цитиколин; Этилметилгидроксипиридина сукцинат";"антиоксидант; мануальная терапия; психосоматика; рефлексотерапия";"Актовегин; Винкамин; Глиатилин; Глицин; Инозин; Кавинтон; Кортексин; Мексидол; Семакс; Целлекс; Церебролизин; Цитиколин; Цитофлавин";131;recommendation: 71, literature_mention: 35, error: 25
617_5;Когнитивные расстройства у лиц пожилого и старческого возраста;F00, F01, F02, F03, F06.7, G30, G31, I67, I68, I69;Взрослые;"Всероссийское общество неврологов, Общественная организация ""Российское общество психиатров"", Общероссийская общественная организация «Российская ассоциация геронтологов и гериатров»";14.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/617_5;C2: 17, C1: 15, B1: 11, B2: 3, C: 2, C3: 2;30;14;5;"ON; Антиоксидант; Антитромбин; Винпоцетин; Гвоздика; Гинкго; Гинкго Билоба; Глутамин; Идебенон; Инозин; Ипидакрин; Креатин; Куб; Лизин; Мега; Мексидол; Мексидол ФОРТЕ 250; Нейромидин; Ницерголин; Ноотроп; Омега-3; Пирацетам; Просветление; Фиалка; +6";"антиоксидант; антиоксидантный; аффинно очищенные; биологически активные добавки; психосоматика";"Актовегин; Винкамин; Витамины; Глиатилин; Идебенон; Инозин; Кавинтон; Мексидол; Пирацетам; Тенотен; Трифосаденин; Церебролизин; Цитиколин; Цитофлавин";125;recommendation: 62, error: 36, literature_mention: 27
694_2;Нарушения митохондриального β-окисления жирных кислот;E71.3;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков, Общероссийская общественная организация содействия развитию неонатологии «Российское общество неонатологов»;21.08.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/694_2;C5: 45, B3: 1, C: 1;13;3;1;"Глицин; Докозагексаеновая кислота; ЗМА Про; Карнитин; Левокарнитин; Льняное масло; Масло Грецкого ореха; Масло зародышей пшеницы; Мега; Омега-3; Сафлоровое масло; Триптофан; Тыквенное масло";биологически активная добавка;"Витамины; Глицин; Трифосаденин";125;recommendation: 84, error: 29, contraindication: 12
749_1;Грипп у взрослых;J09, J10, J11;Взрослые;"Общероссийская общественная организация ""Российское научное медицинское общество терапевтов"", Национальная ассоциация специалистов по инфекционным болезням имени академика В. И. Покровского (НАСИБ)";20.01.2023;Применяется;https://cr.minzdrav.gov.ru/view-cr/749_1;C5: 21, C2: 4, B2: 3, C1: 3, B3: 3, C3: 2, B1: 1, A1: 1;23;18;1;"ON; Альфа; Амиксин; Антиоксидант; Арбидол; Биол; Бутамират; Глицин; Глутамин; Ингавирин; Интерферон гамма человеческий рекомбинантный; Кагоцел; Левоментол; Магний; Неовир; Реамберин; Римантадин; Терпингидрат; Тилорон; Триазавирин; Умифеновир; Цикл; Циклоферон";антиоксидант;"Акридон; Альфарона; Амизон; Амиксин; Арбидол; Гвайфенезин; Глицин; Ингавирин; Ингарон; Интерфероны; Кагоцел; Меглюмин; Неовир; Полиоксидоний; Реамберин; Тилаксин; Триазавирин; Циклоферон";106;literature_mention: 47, recommendation: 38, error: 20, contraindication: 1
405_3;Изовалериановая ацидемия/ацидурия;E71.1;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков;21.08.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/405_3;C5: 39, C4: 6, C3: 4, C: 2, B2: 1;13;3;1;"Глицин; Глицин Ка; Железо; Ива; Карнитин; Л-КАР; Л-карнитин; Левокарнитин; Лейцин; Ноотроп; Поливит; Поливитамины; Цина";биологически активная добавка;"Витамины; Глицин; Поливитамины";90;recommendation: 74, error: 13, literature_mention: 3
724_1;Острые респираторные вирусные инфекции (ОРВИ) у взрослых;B34.0, B34.2, B34.9, B97.0, B97.4, J00, J01, J02, J03, J04, J05, J06, J20, J21, J22;Взрослые;"Общероссийская общественная организация ""Российское научное медицинское общество терапевтов"", Некоммерческое партнерство «Национальное научное общество инфекционистов»";15.02.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/724_1;C2: 12, C5: 11, B2: 4, B1: 3, B3: 2;30;18;2;"ON; Алина; Алфавит; Альфа; Амиксин; Анаферон; Антиоксидант; Арбидол; Бутамират; Гексэтидин; Гипер; Ингавирин; Кагоцел; Казанова; Левоментол; Лизоцим; Неовир; Окс; ПО 90; Реамберин; Ренгалин; ТИМ; Терпингидрат; Тилорон; +6";"антиоксидант; физиотерапия";"Акридон; Альфарона; Амизон; Амиксин; Анаферон; Арбидол; Гвайфенезин; Ингавирин; Ингарон; Интерфероны; Кагоцел; Меглюмин; Неовир; Реамберин; Ренгалин; Тилаксин; Циклоферон; Эргоферон";79;literature_mention: 37, recommendation: 32, error: 10
748_2;Неалкогольная жировая болезнь печени;K75.8, K76.0;Взрослые;"Российская ассоциация эндокринологов, Российская Гастроэнтерологическая Ассоциация, Общероссийская общественная организация ""Российское научное медицинское общество терапевтов"", Общероссийская общественная организация «Российская ассоциация геронтологов и гериатров», Российское общество по изучению печени, Российское общество профилактики неинфекционных заболеваний, Национальное общество профилактической кардиологии";11.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/748_2;B1: 11, C3: 8, C5: 7, B2: 6, B3: 6;20;8;3;"Адеметионин; Алфавит; Антиоксидант; Аргинин; Биск; Гептрал; Глутамин; Инозин; Кверцетин; Коллаген; Ламинин; Мега; Метионин; Оковит; Омега-3; РЕМАКСОЛ; Фосфолипиды; Цитруллин; Эссенциальные фосфолипиды; иПЕП";"антиоксидант; биологически активные добавки; потенцирование";"Адеметионин; Гептрал; Диквертин; Инозин; Меглюмин; Ремаксол; Трифосаденин; Эссенциальные фосфолипиды";79;recommendation: 38, error: 31, literature_mention: 9, contraindication: 1
406_3;Глутаровая ацидурия тип 1;E72.3;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков, Национальная ассоциация детских реабилитологов;20.08.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/406_3;C5: 39, A5: 2, A: 1, B2: 1, C: 1;7;1;0;"Глутамин; ИнОВО; Карнитин; Левокарнитин; Лизин; Триптофан; Убихинон";-;ГАМК;76;recommendation: 64, error: 12
131_2;Острые миелоидные лейкозы;C92.0, C92.3, C92.5, C92.6, C92.7, C92.8, C92.9, C93.0, C94.0, C94.2, C94.7, C95.0;Взрослые;"Ассоциация содействия развитию гематологии, трансфузиологии и трансплантации костного мозга ""Национальное гематологическое общество""";17.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/131_2;A3: 15, B2: 13, C4: 6, B3: 3;5;1;1;"Децит; Лизоцим; Мать И Дитя; Таурин; Цель Т";поддерживающая терапия;Таурин;71;recommendation: 59, error: 11, literature_mention: 1
747_1;Лекарственные поражения печени (ЛПП) у взрослых;K71;Взрослые;"Общероссийская общественная организация ""Российское научное медицинское общество терапевтов"", Научное общество гастроэнтерологов России";10.11.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/747_1;C5: 41, C2: 7;14;6;2;"АРУ; Адеметионин; Антиоксидант; Даруна; ЗМА; Инозин; Карнитин; Лаеннек; Левокарнитин; Метионин; Тазан; Таурин; Фосфолипиды; Экстракт зеленого чая";"антиоксидант; биологически активные добавки";"Адеметионин; Инозин; Лаеннек; Меглюмин; Таурин; Трифосаденин";70;recommendation: 48, error: 17, literature_mention: 5
372_2;Кистозный фиброз (муковисцидоз);E84;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков, Российское респираторное общество, Российское трансплантологическое общество , Ассоциация детских врачей Московской области;03.09.2021;Применяется;https://cr.minzdrav.gov.ru/view-cr/372_2;C5: 26, B: 3, B3: 2, A: 1, C4: 1, B4: 1;21;3;2;"N-ацетилцистеин; Агар; Антиоксидант; Антитромбин; Атлетика; Бифидобак; Гипер; Железо; Казеин; Кальция глицерофосфат; Коллаген; Креатин; Куб; Льняное масло; Масло Грецкого ореха; Мега; Менадиона натрия бисульфит; НУТРИНИдринк с пищевыми волокнами; Омега-3; Полимикс; Цистеин";"антиоксидант; биологически активные добавки";"Витамины; Муколитики; Панкреатин";68;recommendation: 48, error: 17, contraindication: 2, literature_mention: 1
507_3;Туберкулез у детей;A15, A16, A17, A18, A19;Дети;Российское Общество Фтизиатров, Национальная ассоциация некоммерческих организаций фтизиатров «Ассоциация фтизиатров»;18.09.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/507_3;C5: 22, B3: 8, B2: 6, C4: 4, C3: 4, A3: 4, A: 1;2;1;0;"Протионамид; Теризидон";-;Трифосаденин;61;recommendation: 59, error: 1, contraindication: 1
741_1;Эпилепсия и эпилептический статус у взрослых и детей;F80.3, G40.0, G40.1, G40.2, G40.3, G40.4, G40.5, G40.6, G40.7, G40.8, G40.9, G41.0, G41.1, G41.2, G41.8, G41.9, G83.8, P90, R56.0, R56.8;Взрослые, дети;"Ассоциация нейрохирургов России, Всероссийское общество неврологов, Общероссийская общественная организация ""Союз реабилитологов России"", Ассоциация специалистов по клинической нейрофизиологии, Российская противоэпилептическая Лига";16.08.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/741_1;C4: 5, C5: 2, A2: 2, B4: 1;18;6;3;"Антиоксидант; Биотин; Глицин; Глутамин; Железо; ИнОВО; Камфора; Карнитин; Лейцин; Магний; МультиВи; Мультивитамин; Мультивитамины; Ночной сон; Селен; Ультивит; Цель Т; Эффект Ч";"антиоксидант; потенцирование; психосоматика";"Анальгин; Витамины; ГАМК; Глицин; Метамизол; Трифосаденин";59;error: 32, recommendation: 25, literature_mention: 2
374_3;Мочекаменная болезнь;E79.8, E79.9, N20, N21, N22, N23;Дети;Союз педиатров России, Ассоциация медицинских генетиков, Национальная ассоциация экспертов по санаторно-курортному лечению;23.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/374_3;B2: 5, C5: 2;11;3;2;"ON; Антиоксидант; Аргинин; Золототысячник; Золототысячника трава; КАН; Лизин; Магний; Одуванчик; Уролит; Цистеин";"антиоксидант; цветотерапия";"Анальгин; Канефрон; Метамизол";56;error: 41, literature_mention: 8, recommendation: 7
16_3;Туберкулез у взрослых;A15, A16, A17, A18, A19;Взрослые;Российское Общество Фтизиатров, Национальная ассоциация некоммерческих организаций фтизиатров «Ассоциация фтизиатров»;14.05.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/16_3;C5: 7, A2: 5, B2: 4, A3: 4, B: 2, B3: 1, C4: 1, C: 1, C3: 1;14;8;1;"Глицин; Глутоксим; Интерферон гамма человеческий рекомбинантный; Кортексин; Лизоцим; Лира; Нобен; Ноотроп; ОН; Протионамид; Теризидон; Тирамин; Феназид; Фосфолипиды";физиотерапия;"Анальгин; Глицин; Глутоксим; Идебенон; Кортексин; Метамизол; Нобен; Трифосаденин";55;recommendation: 37, error: 9, literature_mention: 4, contraindication: 4, unclear: 1
880_1;Отравление психотропными средствами, не классифицированное в других рубриках;T43;Взрослые, дети;"Межрегиональная благотворительная общественная организация ""Ассоциация клинических токсикологов, Общероссийская общественная организация «Российское общество скорой медицинской помощи»";25.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/880_1;B4: 12, C5: 5;18;10;1;"Алфавит; Антиоксидант; Глицин; Идебенон; Инозин; Инозитол; Кремния диоксид коллоидный; Лигнин; Мезокарб; Никотиноил гамма-аминомасляная кислота; Ноотроп; Перициазин; Пирацетам; Пролин; Реамберин; Треонин; Фонтурацетам; Эпистат";антиоксидант;"ГАМК; Глицин; Идебенон; Инозин; Меглюмин; Ноотропы; Пирацетам; Реамберин; Трифосаденин; Фенотропил";51;recommendation: 29, error: 20, literature_mention: 2
385_3;Болезнь «кленового сиропа»;E71.0;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков, Российское трансплантологическое общество , Общероссийская общественная организация содействия развитию неонатологии «Российское общество неонатологов»;20.08.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/385_3;C5: 21, A3: 4, A: 2, C3: 2, B1: 2, B3: 1;9;2;0;"BCAA; L-Карнитин; Глицин; Железо; Карнитин; Левокарнитин; Лейцин; Тирозин; Триптофан";-;"Глицин; Трифосаденин";50;recommendation: 36, error: 11, literature_mention: 3
387_3;Другие виды нарушения обмена аминокислот с разветвленной цепью (Метилмалоновая ацидемия /ацидурия);E71.1;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков;12.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/387_3;C5: 12, B2: 7, A3: 6, C4: 2, C3: 2, 3: 2, C: 1;14;3;2;"L-Карнитин; L-изолейцин; Агар; Артишок; Глицин; Карнитин; Левокарнитин; Лейцин; Мята; Поливитамины; Треонин; Цина; Черника; Чеснок";"биологически активная добавка; биологически активные добавки";"Витамины; Глицин; Поливитамины";50;recommendation: 39, error: 11
614_2;Патологические переломы, осложняющие остеопороз;M80.0, M80.1, M80.2, M80.3, M80.4, M80.5, M80.8, M80.9;Взрослые;Российская ассоциация эндокринологов, Ассоциация травматологов-ортопедов России, Ассоциация ревмоортопедов;11.05.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/614_2;A2: 12, C4: 8, C5: 7, A1: 6, B3: 2;5;0;6;"Гипер; Кальция глицерофосфат; Коллаген; Магний; Остеогенон";"биологически активная добавка; иглоукалывание; мануальная терапия; остеопатия; рефлексотерапия; физиотерапия";-;50;recommendation: 38, error: 8, contraindication: 2, literature_mention: 2
619_2;Наджелудочковые тахикардии;I47.1, I47.9;Взрослые;Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество», Всероссийское научное общество специалистов по клинической электрофизиологии, аритмологии и электростимуляции;12.11.2020;Применяется;https://cr.minzdrav.gov.ru/view-cr/619_2;B1: 20, C4: 7, B2: 6, A2: 5, A1: 3, C3: 2, B3: 1;3;1;0;"Лаппаконитин; Лаппаконитина гидробромид; ОверДрайв";-;Трифосаденин;50;recommendation: 47, literature_mention: 1, contraindication: 1, error: 1
750_1;Соматическая дисфункция;M99.0, M99.8, M99.9;Взрослые, дети;Общероссийская общественная организация содействия развитию остеопатии «Российская остеопатическая ассоциация»;07.02.2023;Применяется;https://cr.minzdrav.gov.ru/view-cr/750_1;C5: 2, B2: 1, A3: 1, 3: 1;3;1;4;"Валидол; Коллаген; ЛимфоТок";"мануальная терапия; остеопатия; рефлексотерапия; физиотерапия";Валидол;50;error: 26, literature_mention: 13, recommendation: 11
868_1;Гонартроз;M17, M17.0, M17.1, M17.2, M17.3, M17.4, M17.5, M17.9, M24.5;Взрослые, дети;Ассоциация ревматологов России, Ассоциация травматологов-ортопедов России, Общероссийская общественная организация Ассоциация реабилитологов России;24.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/868_1;B2: 12, A2: 9, A1: 1, C: 1, C5: 1;12;3;2;"Алфлутоп; Альгинат; Атлетика; Глюкозамин; Дженерик; Коллаген; Топ; Флу; ХОНДРОГАРД; Хондроитин; Хондроитина сульфат; Хондроитинсульфат";"биологически активные добавки; физиотерапия";"Алфлутоп; Пиаскледин; Хондроитин";49;recommendation: 25, error: 16, literature_mention: 8
273_5;Хронический панкреатит;K86.0, K86.1, K86.2, K86.3, K86.8, K90.3;Взрослые;"Общероссийская общественная организация ""Российское общество хирургов"", Российская Гастроэнтерологическая Ассоциация, Международная общественная организация ""Ассоциация хирургов-гепатологов"", Ассоциация ""Эндоскопическое общество ""РЭндО"", Межрегиональная Общественная Организация ""Научное сообщество по содействию клиническому изучению микробиома человека""";13.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/273_5;B2: 4, C5: 3, A1: 3, B1: 3, C: 1;7;1;1;"Антиоксидант; Гепатол; Гипер; Креатин; Пищеварительные ферменты; Протеаза; Синбиотик";антиоксидант;Панкреатин;48;error: 25, recommendation: 18, literature_mention: 5
829_1;Аномалия развития коронарных сосудов;Q24.5;Дети;"Ассоциация сердечно-сосудистых хирургов России, Всероссийская общественная организация ""Ассоциация детских кардиологов России"", Общероссийская общественная организация содействия развитию лучевой диагностики и терапии ""Российское общество рентгенологов и радиологов"" , Национальная ассоциация экспертов по санаторно-курортному лечению";27.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/829_1;C5: 9, C4: 4;1;0;0;КСФ;-;-;48;error: 31, recommendation: 14, contraindication: 2, literature_mention: 1
155_2;Стабильная ишемическая болезнь сердца;I20.0, I20.1, I20.8, I20.9, I25.0, I25.1, I25.2, I25.3, I25.4, I25.5, I25.6, I25.8, I25.9, Q24.5;Взрослые;"Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество», Автономная некоммерческая организация ""Национальное общество по изучению атеросклероза"", Некоммерческое партнерство ""Национальное общество по атеротромбозу"", Общероссийская общественная организация содействия развитию лучевой диагностики и терапии ""Российское общество рентгенологов и радиологов"" , Российское научное общество специалистов по рентгенэндоваскулярной диагностике и лечению, Российское общество кардиосоматической реабилитации и вторичной профилактики (РосОКР), Российская ассоциация специалистов ультразвуковой диагностики в медицине";04.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/155_2;B1: 12, B3: 6, C5: 6, B2: 3, B5: 1, C4: 1, B4: 1;4;2;0;"Мега; Метазид; Натрия аденозинтрифосфат; Омега-3";-;"Предуктал; Трифосаденин";46;recommendation: 34, error: 10, literature_mention: 2
7_2;Мочекаменная болезнь;N20, N20.0, N20.1, N20.2, N20.9;Взрослые;"Общероссийская общественная организация ""Российское общество урологов""";22.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/7_2;B3: 5, C5: 2, C4: 1;15;4;1;"L-Метионин; ON; Антиоксидант; Золототысячник; Золототысячника трава; КАН; Магний; Метионин; НефраДоз; Пролит; Ренотинекс; Уриклар; Уролесан; Уролит; Цитрат калия";антиоксидант;"Глицин; Канефрон; Пролит; Уролесан";46;literature_mention: 22, error: 15, recommendation: 9
870_1;Коксартроз;M16, M16.0, M16.1, M16.2, M16.3, M16.4, M16.5, M16.6, M16.7, M16.9, M24.6, M24.7;Взрослые, дети;Ассоциация ревматологов России, Ассоциация травматологов-ортопедов России, Общероссийская общественная организация Ассоциация реабилитологов России;24.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/870_1;A1: 14, B2: 7, C5: 3;13;2;2;"Алфлутоп; Гиалуроновая кислота; Глюкозамин; Дженерик; ИнОВО; КАН; Ноглик; Топ; Флу; ХОНДРОГАРД; Хондроитин; Хондроитина сульфат; Цитруллин";"биологически активные добавки; физиотерапия";"Алфлутоп; Хондроитин";46;recommendation: 28, literature_mention: 11, error: 7
