ID,Название клинической рекомендации,МКБ-10,Возрастная группа,Разработчик,Дата размещения,Статус применения КР,Ссылка на клиническую рекомендацию,Слова из списка препаратов,Слова из списка маркеров,Слова из списка возможных маркеров
КР26,Юношеский артрит с системным началом,M08.2,Дети,Ассоциация детских ревматологов,30.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/26_4,,,
КР529,Острый лимфобластный лейкоз,"C83.5, C91.0, C95.0",Дети,Российское общество детских онкологов и гематологов,29.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/529_2,,,
КР586,Острые миелоидные лейкозы,"C92.0, C92.3, C92.5, C92.6, C92.7, C92.8, C92.9, C93.0, C94.0, C94.2",Дети,Российское общество детских онкологов и гематологов,28.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/586_3,"Таурин: рандомизированных 
исследований ингибиторов ITD-Flt-3 (мидостаурин**, гилтеритиниб) в 
первой линии терапии у детей ожидают пу",,
КР134,Хронический лимфоцитарный лейкоз / лимфома из малых лимфоцитов,C91.1,Взрослые,"Ассоциация онкологов России, Российское общество онкогематологов, Ассоциация содействия развитию гематологии, трансфузиологии и трансплантации костного мозга ""Национальное гематологическое общество""",27.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/134_2,,,
КР75,Опухоли слюнных желез у детей,"C06.9, C07, C08, D10.3, D11",Дети,Российское общество детских онкологов и гематологов,27.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/75_2,,,
КР69,Экстракраниальные герминогенные опухоли,"C38.1, C48.0, C49.0, C49.5, C49.9, C56, C62, C62.0, C62.1, C62.9, D15, D20, D21, D28, D29, D36",Дети,Российское общество детских онкологов и гематологов,27.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/69_2,,,
КР138,Нодальные Т-клеточные лимфомы,"C84.5, C84.6, C84.7, C84.9, C86.0, C86.1, C86.5","Взрослые, дети","Ассоциация онкологов России, Национальное общество детских гематологов, онкологов, Российское общество онкогематологов, Ассоциация содействия развитию гематологии, трансфузиологии и трансплантации костного мозга ""Национальное гематологическое общество""",24.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/138_2,,,
КР78,Нейробластома,"C38.2, C47.0, C47.3, C47.4, C47.5, C47.6, C47.8, C47.9, C48.0, C74.1, C74.9, C76.0, C76.1, C76.2, C76.7, C76.8, D48.3",Дети,"Национальное общество детских гематологов, онкологов",24.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/78_2,"Метамизол: фен**. Имеет более длительный период действия (8 часов). 
- метамизол натрия. Из-за его спазмолитических свойств метамизол натрия; Метамизол: фен**. Имеет более длительный период действия (8 часов). 
- метамизол натрия. Из-за его спазмолитических свойств метамизол натрия",,
КР3,Рак полости носа и придаточных пазух,"C30, C31",Взрослые,"Ассоциация онкологов России, Общероссийская общественная организация ""Российское общество специалистов по опухолям головы и шеи"", Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация «Федерация специалистов по лечению заболеваний головы и шеи», Некоммерческая организация ""Ассоциация онкологических организаций Сибири и Дальнего Востока",24.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/3_2,,,
КР355,Рак поджелудочной железы,"C25, D37.7",Взрослые,"Ассоциация онкологов России, Общероссийская общественная организация ""Российское общество хирургов"", Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация содействия развитию лучевой диагностики и терапии ""Российское общество рентгенологов и радиологов""",23.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/355_5,"Витамины: бщего магния в сыворотке крови), ретинол-связывающие белки, витамины А, D 
(A09.05.221 Исследование уровня 1,25-OH витамина Д в ; Панкреатин: льной ферментативной терапии (ЗФТ) включает 40000-
50000 Ед панкреатина** во время приема пищи и 25000 Ед во время перекусов. В 
д",,
КР460,Рак тела матки и саркомы матки,"C54, C55, D07.0",Взрослые,"Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация «Российское общество специалистов по профилактике и лечению опухолей репродуктивной системы»",23.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/460_4,,,
КР144,Множественная миелома,C90.0,Взрослые,"Ассоциация онкологов России, Национальное гематологическое общество, Региональная общественная организация ""Общество онкогематологов""",22.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/144_2,,,
КР141,Миелодиспластический синдром. Миелодиспластические/ миелопролиферативные новообразования,"C92.2, C93.1, C94.6, D46, D46.0, D46.1, D46.2, D46.4, D46.5, D46.6, D46.7, D46.9",Взрослые,"Ассоциация содействия развитию гематологии, трансфузиологии и трансплантации костного мозга ""Национальное гематологическое общество""",22.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/141_2,,,
КР696,Апластическая анемия,"D61.3, D61.8, D61.9",Дети,Российское общество детских онкологов и гематологов,21.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/696_2,,,
КР139,Лимфома Ходжкина,C81,"Взрослые, дети","Ассоциация онкологов России, Национальное общество детских гематологов, онкологов, Российское профессиональное общество онкогематологов, Некоммерческое партнерство содействия развитию гематологии и трансплантологии костного мозга ""Национальное гематологическое общество""",20.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/139_2,,,
КР652,Перелом дна глазницы,S02.3,"Взрослые, дети",ООО «Общество специалистов в области челюстно-лицевой хирургии»,20.01.2025,Применяется,https://cr.minzdrav.gov.ru/view-cr/652_2,"Метамизол: противопоказаний. [46-51]; 
 Также 
допустимо 
назначение 
метамизола 
натрия, 
в 
качестве 
альтернативы 
нестероидным 
противо; Metamizole: r M, Eich C, Becke K, Badelt G, Leimkühler K, Dennhardt N. 
Metamizole for Postoperative Pain Therapy in Infants Younger than 1 Ye; Dipyrone: eijden C, Ekhart C, Bos J, Bruhn J, Kramers C. 
Metamizole (Dipyrone) as an Alternative Agent in Postoperative Analgesia in Pati; Метамизол: противопоказаний. [46-51]; 
 Также 
допустимо 
назначение 
метамизола 
натрия, 
в 
качестве 
альтернативы 
нестероидным 
противо",,
