=== СВОДКА ПО КЛИНИЧЕСКИМ РЕКОМЕНДАЦИЯМ ===

ID;Название;МКБ-10;Возраст;Разработчик;Дата;Статус;Ссылка;Уровни рекомендаций (A1: 5, B2: 3 и т.д.);MedIQ (кол-во);Blacklist (кол-во);Маркеры (кол-во);Препараты MedIQ;Маркеры;Чёрный список
115_2;Сахарный диабет: ретинопатия диабетическая, макулярный отек диабетический;E10.3, E11.3, E12.3, E13.3, E14.3, H36.0;Взрослые;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов"", Российская ассоциация эндокринологов";15.02.2023;Применяется;https://cr.minzdrav.gov.ru/view-cr/115_2;Нет рекомендаций;0;0;0;—;—;—
150_3;Идиопатическая тромбоцитопеническая пурпура (ИТП) у взрослых;D69.3;Взрослые;Национальное гематологическое общество;16.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/150_3;Не определенНе определен: 1;1;0;0;Крапива;—;—
151_2;Фолликулярная лимфома;C82, C85.9;Взрослые, дети;"Ассоциация онкологов России, Национальное общество детских гематологов, онкологов, Российское общество онкогематологов, Ассоциация содействия развитию гематологии, трансфузиологии и трансплантации костного мозга ""Национальное гематологическое общество""";18.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/151_2;C5: 4, С5: 4, В3: 3, Не определенНе определен: 3, В2: 3, B3: 1, А2: 1, A2: 1;3;0;1;Флу, Цикл, Экстимия;поддерживающая терапия;—
129_3;Агрессивные нефолликулярные лимфомы - диффузная В-клеточная крупноклеточная лимфома, В-клеточная лимфома высокой степени злокачественности с перестройкой генов c-MYC и BCL2/BCL6, первичная медиастинальная В-клеточная лимфома, медиастинальная лимфома серой зоны, лимфома Беркитта, плазмобластная лимфома.;C83.3, C83.7, C83.8, C83.9, C85.2, C85.7, C91.8;Взрослые, дети;Ассоциация онкологов России, Национальное гематологическое общество, Национальное общество детских гематологов, онкологов, Российское общество онкогематологов;24.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/129_3;AНе определен: 1, C5: 1;0;0;1;—;поддерживающая терапия;—
15_2;Эректильная дисфункция;F52, N48.4;Взрослые;"Общероссийская общественная организация ""Российское общество урологов""";20.12.2021;Применяется;https://cr.minzdrav.gov.ru/view-cr/15_2;Не определенНе определен: 1;1;0;0;Мега;—;—
137_2;Лимфома маргинальной зоны;C83.0;Взрослые;Ассоциация онкологов России, Национальное гематологическое общество, Российское общество онкогематологов;20.12.2023;Применяется;https://cr.minzdrav.gov.ru/view-cr/137_2;С4: 4, С5: 1, Не определенНе определен: 1, C5: 1;2;0;1;Антитромбин, Промедол;поддерживающая терапия;—
10_4;Рак паренхимы почки;C64;Взрослые;"Ассоциация онкологов России, Общероссийская общественная организация ""Российское общество урологов"", Общероссийская общественная организация ""Российское общество онкоурологов"", Общероссийская общественная организация «Российское общество клинической онкологии»";06.12.2023;Применяется;https://cr.minzdrav.gov.ru/view-cr/10_4;Не определенНе определен: 1;0;1;0;—;—;Интерфероны
145_3;Острые порфирии;E80.2;Взрослые, дети;Национальное гематологическое общество, РОО «Общество специалистов по нервно-мышечным заболеваниям» , Российское общество детских онкологов и гематологов;27.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/145_3;Не определенНе определен: 1;0;1;0;—;—;ГАМК
121_2;Апластическая анемия;D61.1, D61.3, D61.8, D61.9;Взрослые;Национальное гематологическое общество;28.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/121_2;С5: 2;1;0;0;Миндалин;—;—
106_2;Ожоги глаз;T26;Взрослые, дети;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов""";14.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/106_2;С5: 2, Не определенНе определен: 1;3;0;0;АТП, Т-2, Т-3;—;—
138_2;Нодальные Т-клеточные лимфомы;C84.5, C84.6, C84.7, C84.9, C86.0, C86.1, C86.5;Взрослые, дети;"Ассоциация онкологов России, Национальное общество детских гематологов, онкологов, Российское общество онкогематологов, Ассоциация содействия развитию гематологии, трансфузиологии и трансплантации костного мозга ""Национальное гематологическое общество""";24.01.2025;Применяется;https://cr.minzdrav.gov.ru/view-cr/138_2;Не определенНе определен: 3, С5: 1, C5: 1;1;0;1;Цикл;поддерживающая терапия;—
